ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1743	1	1	2	0.000000	187.000000	187.000000	0.000000	0.000000	0	89	0
1744	4	1	2	0.000000	138.250000	138.250000	0.000000	0.000000	0	79	0
1745	22	1	2	0.000000	6.909091	6.909091	0.000000	0.000000	0	27	0
1746	5	1	2	0.000000	271.400000	260.400000	0.000000	0.000000	0	136	0
1747	3	2	2	0.000000	315.000000	300.000000	0.000000	0.000000	0	156	0
1748	2	2	1	0.000000	308.000000	292.000000	0.000000	0.000000	0	152	0
1749	4	2	1	0.000000	296.000000	280.500000	0.000000	0.000000	0	151	0
1750	15	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	2	0
1751	11	1	2	0.000000	293.909091	282.545455	0.000000	0.000000	0	176	0
1752	43	1	1	0.000000	1.511628	1.511628	0.000000	0.000000	0	2	0
1753	2	2	2	0.000000	291.500000	289.500000	0.000000	0.000000	0	149	0
1754	167	0	0	0.000000	3.101796	3.101796	0.000000	0.000000	0	2	0
1755	13	1	1	0.000000	3.153846	3.153846	0.000000	0.000000	0	4	0
1756	15	1	1	0.000000	4.333333	4.333333	0.000000	0.000000	0	4	0
1757	1	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	4	0
1758	4	1	2	0.000000	442.000000	4.000000	0.000000	0.000000	0	11	0
1759	15	1	1	0.000000	4.200000	4.200000	0.000000	0.000000	0	2	0
1760	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	2	0
1761	62	0	0	0.000000	5.096774	5.096774	0.000000	0.000000	0	4	0
1762	2	1	2	0.000000	263.000000	263.000000	0.000000	0.000000	0	131	0
1763	47	0	3	0.000000	25.957447	25.893617	0.000000	0.000000	0	138	0
1764	10	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	5	0
1765	141	0	0	0.000000	3.489362	3.191489	0.000000	0.000000	0	2	0
1766	13	1	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	4	0
1767	4	2	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	8	0
1768	4	2	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	4	0
1769	7	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	3	0
1770	21	1	1	0.000000	1.095238	1.095238	0.000000	0.000000	0	1	0
1771	2	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
1772	1	1	1	0.000000	7.000000	6.000000	0.000000	0.000000	0	5	0
1773	138	2	1	0.000000	22.478261	21.869565	0.000000	0.000000	0	40	0
1774	2	2	2	0.000000	571.500000	296.500000	0.000000	0.000000	0	293	0
1775	1	2	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	5	0
1776	15	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	3	0
1777	5	1	1	0.000000	3.400000	3.400000	0.000000	0.000000	0	3	0
1778	44	1	0	0.000000	11.818182	11.818182	0.000000	0.000000	0	13	0
1779	1	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	14	0
1780	6	1	1	0.000000	27.333333	27.333333	0.000000	0.000000	0	15	0
1781	15	1	2	0.000000	39.666667	38.600000	0.000000	0.000000	0	25	0
1782	2	1	2	0.000000	274.500000	274.500000	0.000000	0.000000	0	135	0
1783	1	1	2	0.000000	275.000000	275.000000	0.000000	0.000000	0	132	0
1784	2	1	2	0.000000	265.500000	265.500000	0.000000	0.000000	0	130	0
1785	1	1	4	0.000000	279.000000	279.000000	0.000000	0.000000	0	135	0
1786	3	1	2	0.000000	277.333333	277.333333	0.000000	0.000000	0	141	0
1787	2	2	1	0.000000	32.500000	32.500000	0.000000	0.000000	0	17	0
1788	93	1	2	0.000000	93.290323	90.193548	0.000000	0.000000	0	122	0
1789	6	2	2	0.000000	76.333333	75.500000	0.000000	0.000000	0	40	0
1790	5	1	1	0.000000	67.800000	66.800000	0.000000	0.000000	0	35	0
1791	6	1	2	0.000000	64.500000	63.500000	0.000000	0.000000	0	36	0
1792	10	1	2	0.000000	56.600000	56.300000	0.000000	0.000000	0	37	0
1793	2	2	1	0.000000	266.000000	257.500000	0.000000	0.000000	0	131	0
1794	3	1	1	0.000000	262.333333	259.666667	0.000000	0.000000	0	135	0
1795	4	2	2	0.000000	253.000000	251.750000	0.000000	0.000000	0	135	0
1796	3	2	1	0.000000	253.000000	253.000000	0.000000	0.000000	0	141	0
1797	2	2	1	0.000000	266.000000	266.000000	0.000000	0.000000	0	140	0
1798	1	1	2	0.000000	1570.000000	4.000000	0.000000	0.000000	0	2	0
1799	23	2	1	0.000000	162.826087	143.869565	0.000000	0.000000	0	112	0
1800	4	2	1	0.000000	134.500000	134.500000	0.000000	0.000000	0	72	0
1801	2	2	1	0.000000	132.500000	132.500000	0.000000	0.000000	0	67	0
1802	11	2	1	0.000000	109.272727	109.272727	0.000000	0.000000	0	74	0
1803	4	2	1	0.000000	104.500000	104.500000	0.000000	0.000000	0	56	0
1804	6	1	2	0.000000	92.666667	92.000000	0.000000	0.000000	0	50	0
1805	11	1	2	0.000000	127.000000	125.090909	0.000000	0.000000	0	80	0
1806	17	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	2	0
1807	21	1	1	0.000000	3.047619	3.047619	0.000000	0.000000	0	6	0
1808	1	1	2	0.000000	761.000000	6.000000	0.000000	0.000000	0	380	0
1809	7	2	2	0.000000	143.428571	138.714286	0.000000	0.000000	0	75	0
1810	11	2	1	0.000000	136.090909	129.909091	0.000000	0.000000	0	73	0
1811	8	3	1	0.000000	109.125000	104.375000	0.000000	0.000000	0	58	0
1812	3	1	1	0.000000	70.666667	70.666667	0.000000	0.000000	0	35	0
1813	10	1	2	0.000000	68.100000	66.100000	0.000000	0.000000	0	38	0
1814	7	1	3	0.000000	490.142857	72.857143	0.000000	0.000000	0	263	0
1815	6	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
1816	19	1	1	0.000000	2.315789	2.315789	0.000000	0.000000	0	2	0
1817	15	1	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	6	0
1818	1	3	7	0.000000	2682.000000	13.000000	0.000000	0.000000	0	1353	0
1819	1	4	3	0.000000	3207.000000	12.000000	0.000000	0.000000	0	1616	0
1820	1	2	5	0.000000	3392.000000	11.000000	0.000000	0.000000	0	1715	0
