ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
6022	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6023	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6024	1	1	2	0.000000	9.000000	9.000000	0.000000	0.000000	0	9	0
6025	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6026	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6027	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6028	51	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6029	64	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6030	6	1	3	0.000000	2.833333	2.833333	0.000000	0.000000	0	3	0
6031	7	1	3	0.000000	3.000000	3.000000	0.000000	0.000000	0	4	0
6032	1	1	2	0.000000	1132.000000	5.000000	0.000000	0.000000	0	70	0
6033	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6034	52	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6035	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6036	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6037	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6038	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6039	10	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6040	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6041	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6042	4	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6043	1	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	3	0
6044	2	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6045	19	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6046	2	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6047	4	1	2	0.000000	2.250000	2.250000	0.000000	0.000000	0	3	0
6048	123	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6049	51	1	0	0.000000	1.039216	1.039216	0.000000	0.000000	0	2	0
6050	1	1	4	0.000000	8.000000	8.000000	0.000000	0.000000	0	8	0
6051	3	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	9	0
6052	1	2	1	0.000000	4.000000	3.000000	0.000000	0.000000	0	4	0
6053	2	2	1	0.000000	3.000000	2.000000	0.000000	0.000000	0	3	0
6054	8	2	1	0.000000	2.000000	1.625000	0.000000	0.000000	0	2	0
6055	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6056	4	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6057	6	1	3	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
6058	3	2	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	9	0
6059	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6060	40	1	1	0.000000	1.100000	1.100000	0.000000	0.000000	0	1	0
6061	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6062	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6063	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
6064	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6065	12	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
6066	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
