ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	4	2	2	0.000000	661.750000	640.000000	0.000000	0.000000	0	345	0
2	1	2	1	0.000000	686.000000	669.000000	0.000000	0.000000	0	338	0
3	5	2	1	0.000000	661.200000	647.800000	0.000000	0.000000	0	347	0
4	8	2	1	0.000000	686.125000	682.875000	0.000000	0.000000	0	387	0
5	5	1	1	0.000000	707.000000	707.000000	0.000000	0.000000	0	383	0
6	6	1	2	0.000000	550.000000	543.000000	0.000000	0.000000	0	292	0
7	2	1	2	0.000000	482.000000	473.000000	0.000000	0.000000	0	246	0
8	14	1	2	0.000000	277.642857	271.500000	0.000000	0.000000	0	271	0
9	11	2	2	0.000000	222.818182	212.363636	0.000000	0.000000	0	136	0
10	31	1	1	0.000000	256.548387	245.225806	0.000000	0.000000	0	213	0
11	7	1	2	0.000000	458.000000	436.571429	0.000000	0.000000	0	247	0
12	4	1	1	0.000000	5481.250000	5127.750000	0.000000	0.000000	0	2914	0
13	1	2	2	0.000000	5438.000000	5040.000000	0.000000	0.000000	0	2764	0
14	1	3	1	0.000000	5199.000000	4827.000000	0.000000	0.000000	0	2635	0
15	2	2	1	0.000000	5164.000000	4798.000000	0.000000	0.000000	0	2637	0
16	3	1	1	0.000000	5089.333333	4717.000000	0.000000	0.000000	0	2632	0
17	1	1	2	0.000000	5313.000000	4941.000000	0.000000	0.000000	0	2680	0
18	7	2	2	0.000000	4971.000000	3588.428571	0.000000	0.000000	0	2751	0
19	6	2	1	0.000000	4210.000000	3906.000000	0.000000	0.000000	0	2278	0
20	2	1	2	0.000000	3735.000000	3466.000000	0.000000	0.000000	0	1930	0
21	5	2	2	0.000000	3345.800000	2405.400000	0.000000	0.000000	0	1898	0
22	4	1	1	0.000000	2726.250000	2534.250000	0.000000	0.000000	0	1440	0
23	3	3	2	0.000000	2427.333333	2235.000000	0.000000	0.000000	0	1285	0
24	2	2	1	0.000000	2133.500000	1960.000000	0.000000	0.000000	0	1102	0
25	3	2	1	0.000000	1735.000000	1579.333333	0.000000	0.000000	0	894	0
26	2	2	1	0.000000	1676.500000	1545.000000	0.000000	0.000000	0	854	0
27	1	1	1	0.000000	1676.000000	1558.000000	0.000000	0.000000	0	841	0
28	6	2	2	0.000000	1682.333333	789.166667	0.000000	0.000000	0	877	0
29	5	3	1	0.000000	1572.000000	1171.200000	0.000000	0.000000	0	862	0
30	2	2	1	0.000000	1246.500000	1178.000000	0.000000	0.000000	0	663	0
31	1	2	1	0.000000	1173.000000	1120.000000	0.000000	0.000000	0	597	0
32	12	2	1	0.000000	587.750000	559.333333	0.000000	0.000000	0	359	0
33	3	2	1	0.000000	245.000000	227.333333	0.000000	0.000000	0	124	0
34	1	2	1	0.000000	239.000000	221.000000	0.000000	0.000000	0	120	0
35	31	3	1	0.000000	394.032258	167.451613	0.000000	0.000000	0	467	0
36	6	1	2	0.000000	360.333333	343.166667	0.000000	0.000000	0	183	0
37	20	2	2	0.000000	349.900000	326.950000	0.000000	0.000000	0	236	0
38	4	1	1	0.000000	333.250000	305.750000	0.000000	0.000000	0	208	0
39	5	1	2	0.000000	373.400000	344.800000	0.000000	0.000000	0	202	0
40	31	1	2	0.000000	346.580645	280.580645	0.000000	0.000000	0	276	0
41	1	2	1	0.000000	198.000000	194.000000	0.000000	0.000000	0	105	0
42	3	2	1	0.000000	205.333333	202.000000	0.000000	0.000000	0	113	0
43	1	2	1	0.000000	204.000000	201.000000	0.000000	0.000000	0	111	0
44	4	2	1	0.000000	209.500000	205.250000	0.000000	0.000000	0	128	0
45	5	2	1	0.000000	265.000000	261.200000	0.000000	0.000000	0	162	0
46	4	2	1	0.000000	269.000000	268.250000	0.000000	0.000000	0	157	0
47	2	2	1	0.000000	275.000000	272.500000	0.000000	0.000000	0	154	0
48	1	1	1	0.000000	272.000000	270.000000	0.000000	0.000000	0	149	0
49	6	1	2	0.000000	283.500000	281.333333	0.000000	0.000000	0	159	0
50	5	2	2	0.000000	282.600000	280.200000	0.000000	0.000000	0	159	0
51	6	1	1	0.000000	2548.000000	2408.333333	0.000000	0.000000	0	1302	0
